swe_for_eng:S0017L03B01	target1	ta reda på svaret	4d1e62f5-e7a7-46e7-98a0-d83a7a4c5fc9	Ta reda på svaret.	2.628000
swe_for_eng:S0017L03B01	target2	ta reda på svaret	8fa12932-19ef-493a-b96e-7c7b1ee29834	Ta reda på svaret.	3.024000
swe_for_eng:S0017L03B02	target1	vad svaret är	d0067b84-0c5e-4f39-a8d3-877d673605d1	Vad svarat er?	2.340000
swe_for_eng:S0017L03B02	target2	vad svaret är	fe9fe9a5-93a3-435f-b3d7-fe9584b70411	Vad svarat er?	2.664000
swe_for_eng:S0017L03B03	target1	jag vill ta reda på svaret	0e6b690e-e538-4c4f-a21f-ac507df67373	Jag vill ta reda på svaret.	2.916000
swe_for_eng:S0017L03B03	target2	jag vill ta reda på svaret	59d75cd4-f03c-42d8-9b44-ff0b97938bee	Jag vill ta reda på svaret.	3.168000
swe_for_eng:S0017L03U01	target1	hon vill ta reda på vad svaret är	588789fc-f62c-4824-a468-8b7c98ecee02	Hon vill ta reda på vad svaret är.	3.132000
swe_for_eng:S0017L03U01	target2	hon vill ta reda på vad svaret är	a4426523-c438-4f8d-80cd-9957c69c537f	Hon vill ta reda på vad svaret är.	3.276000
swe_for_eng:S0017L03U02	target2	jag vill ta reda på vad svaret är	9ef14ee2-c37c-4117-ad1f-d41cffdc1231	Jag vill ta reda på vad svaret är.	3.420000
swe_for_eng:S0017L03U02	target1	jag vill ta reda på vad svaret är	d8ae2b67-98aa-439e-b204-c524d5986436	Jag vill ta reda på vad svaret är.	3.276000
swe_for_eng:S0017L03U03	target1	jag är inte säker på om jag kan komma ihåg svaret	25904c87-d625-46ac-be47-cd1a7d666840	Jag är inte säker på om jag kan komma ihåg svaret.	4.176000
swe_for_eng:S0017L03U03	target2	jag är inte säker på om jag kan komma ihåg svaret	fea3cc89-e4e6-48ed-9d9c-bf8591ad1395	Jag är inte säker på om jag kan komma ihåg svaret.	4.356000
swe_for_eng:S0017L03U04	target1	han vill ta reda på vad svaret är	9324009e-32f7-4853-80f2-cab39cd96ea1	Han vill ta reda på vad svaret är.	3.276000
swe_for_eng:S0017L03U04	target2	han vill ta reda på vad svaret är	458d1c51-3fa8-4587-bce7-d1a3c5807be4	Han vill ta reda på vad svaret är.	3.492000
swe_for_eng:S0017L03U05	target1	jag skulle vilja ta reda på vad svaret är	b996facf-05d4-45a7-9901-a6e4d4ca0496	Jag skulle vilja ta reda på vad svaret är.	3.600000
swe_for_eng:S0017L03U05	target2	jag skulle vilja ta reda på vad svaret är	ee5aefa2-7114-4eb8-b755-3c05365ab54f	Jag skulle vilja ta reda på vad svaret är.	3.852000
swe_for_eng:S0066L02B01	target2	jag vill hitta	54350915-8d58-495d-a231-1f8949f3e396	Jag vill hitta.	2.196000
swe_for_eng:S0066L02B01	target1	jag vill hitta	85c779c5-5582-4d53-a01c-e1f88ef23f1a	Jag vill hitta.	2.268000
swe_for_eng:S0066L02B02	target1	hon behöver hitta	c1674ccc-b56a-45b9-b2ca-a662ae81de5f	Hon behöver hitta.	2.448000
swe_for_eng:S0066L02B02	target2	hon behöver hitta	da084e97-feea-4591-b3fd-dcaf70a35e36	Hon behöver hitta.	2.592000
swe_for_eng:S0066L02B03	target1	jag ska hitta	249d3f23-852e-43df-b212-f8250c3b794b	Jag ska hitta.	2.160000
swe_for_eng:S0066L02B03	target2	jag ska hitta	2ba1121e-cff3-465d-a6fe-e4312c4ed01b	Jag ska hitta.	2.160000
swe_for_eng:S0066L02U01	target2	det är inte svårt att hitta svaret	2303a290-1aca-471a-8ccd-7fd3a965d91a	Det är inte svårt att hitta svaret.	3.240000
swe_for_eng:S0066L02U01	target1	det är inte svårt att hitta svaret	a9b95cd5-fbb1-4568-8e16-bea68a56cd84	Det är inte svårt att hitta svaret.	3.096000
swe_for_eng:S0066L02U02	target1	behöver du hitta något?	ed4f7357-f5c2-4847-b39a-8384c3b05870	Behöver du hitta något?	2.700000
swe_for_eng:S0066L02U02	target2	behöver du hitta något?	0a74c09c-3646-45c0-b242-ead7547ec1df	Behöver du hitta något?	2.736000
swe_for_eng:S0066L02U03	target2	jag tänkte på hur man kan hitta svaret	a8ea52e6-4e32-4bd4-803f-7a554d94c376	Jag tänkte på hur man kan hitta svaret.	3.492000
swe_for_eng:S0066L02U03	target1	jag tänkte på hur man kan hitta svaret	a3a7b4cb-850b-410b-b5f0-64520a0e4f2e	Jag tänkte på hur man kan hitta svaret.	3.528000
swe_for_eng:S0066L02U04	target2	det är viktigt att hitta svaret sig själv	7d9ce086-a87a-41d0-819a-00a182ddeaaa	Det är viktigt att hitta svaret sig själv.	3.564000
swe_for_eng:S0066L02U04	target1	det är viktigt att hitta svaret sig själv	9180b342-7096-4a6f-9ae7-b7b3fe1f9f4e	Det är viktigt att hitta svaret sig själv.	3.348000
swe_for_eng:S0066L02U05	target1	hon vill hitta något intressant	603f8862-cc12-42b0-b1fc-3cb7ed523179	Hon vill hitta något intressant.	3.132000
swe_for_eng:S0066L02U05	target2	hon vill hitta något intressant	a42d660b-5eae-424a-9316-38847c7cfc15	Hon vill hitta något intressant.	3.348000
swe_for_eng:S0075L01B01	target1	lära dig	0d12e97d-76a1-45b2-b073-b7145a3a3d55	La radei	1.944000
swe_for_eng:S0075L01B01	target2	lära dig	efe76174-9df1-4743-a073-5f07c1001b5b	Lära dig!	2.052000
swe_for_eng:S0075L01B02	target2	vill du lära dig	5628bef3-e36e-41e9-8c16-73d470e3dd0f	Vill du lära dig?	2.556000
swe_for_eng:S0075L01B02	target1	vill du lära dig	222333d3-1393-4582-8f93-cfbb69faa293	Vill du lära dig?	2.376000
swe_for_eng:S0075L01B03	target1	du ville lära dig	371ce88b-1dc4-40ed-9863-c27fd29d6107	Du ville lära dig.	2.376000
