swe_for_eng:S0075L01B02	known	you want to learn	a58f340f-15cf-4917-aabb-cfca2762cfb8	You want to learn.	1.584000
swe_for_eng:S0075L01B01	known	to learn yourself	ef3c357a-1cb1-4fbb-a416-3c57fd708a67	to learn yourself.	1.620000
swe_for_eng:S0075L01C01	known	learn	5035654b-a35a-461f-8a93-e33965b350cf	Learn	1.080000
swe_for_eng:S0075L01B03	known	you started to learn	90c718eb-b958-4cec-9184-74abc2153b75	You started to learn.	1.836000
swe_for_eng:S0075L01C02	known	yourself	36d7e57a-6d92-4141-814e-a080a7fd142e	yourself	1.260000
swe_for_eng:S0075L01U01	known	have you got more to learn?	a838ca8f-5538-4b0b-a076-24d29f1c2d71	Have you got more to learn?	2.016000
swe_for_eng:S0075L01U02	known	do you want to learn more Swedish?	798e2089-6294-47bf-851d-376fc055f490	Do you want to learn more Swedish?	2.304000
swe_for_eng:S0075L01U03	known	it's fun to learn by yourself	15f9eb1a-b36d-4ce7-b3f9-71cab82ce1e5	It's fun to learn by yourself.	2.268000
swe_for_eng:S0075L01U04	known	I think it's important to learn as much as possible	e29e1db9-b49c-48ba-9518-e65942299ce3	I think it's important to learn as much as possible.	3.384000
swe_for_eng:S0075L01U05	known	do you have more to learn today?	ff2d49a3-06f1-4b74-9780-6c9405a40cf0	Do you have more to learn today?	2.160000
swe_for_eng:S0076L01B01	known	i'm satisfied	5ea018e3-b89f-4afd-8ac3-ac07b831eb5b	I'm satisfied.	1.692000
swe_for_eng:S0076L01B02	known	are you satisfied?	ac9a87d4-d13e-4b1f-9115-138e5b7cb76a	Are you satisfied?	1.800000
swe_for_eng:S0076L01B03	known	she's not satisfied	29f88014-3d5f-418e-a618-02e094b45087	She's not satisfied.	1.872000
swe_for_eng:S0076L01U01	known	i'm very happy with how much I've learnt	e4526890-01d7-4be7-978b-2558676e6eba	I'm very happy with how much I've learnt.	2.916000
swe_for_eng:S0076L01U02	known	are you satisfied with your Swedish now?	7252c2ee-f046-4046-93e5-3191b6ed0d2e	Are you satisfied with your Swedish now?	2.772000
swe_for_eng:S0076L01U03	known	i'm satisfied when I understand more words	0efa9654-b157-47c7-ae31-40d6a27a3cee	I'm satisfied when I understand more words.	3.312000
swe_for_eng:S0076L01U04	known	she's very satisfied with what she's done	5ebedb19-d51c-4f6d-90da-e4eb4858b9e9	She's very satisfied with what she's done.	2.916000
swe_for_eng:S0076L01U05	known	i'm not satisfied with how I speak Swedish yet	0ac9e72d-580d-4607-9c73-d71ea1875ee7	I'm not satisfied with how I speak Swedish yet.	3.384000
swe_for_eng:S0076L02B01	known	already	1702fadb-1259-4322-96a6-db2306c57b78	Already.	1.152000
swe_for_eng:S0076L02B02	known	i've already been learning	ec67bcb2-d997-4c32-86bb-74143bc842ad	I've already been learning.	1.872000
swe_for_eng:S0076L02B03	known	she's already learned to speak Swedish	265f8361-5487-4d53-a5a7-96ba0b2ad3a0	She's already learned to speak Swedish.	2.736000
swe_for_eng:S0076L02U01	known	i'm very happy with how much I've learnt already	08c046f4-0a86-46ed-a3e5-fc2ab0f31ea8	I'm very happy with how much I've learnt already.	3.312000
swe_for_eng:S0076L02U02	known	i've already been learning Swedish for a week	1917960e-c553-4580-84c0-a3426638c058	I've already been learning Swedish for a week.	2.880000
swe_for_eng:S0076L02U03	known	she's already looking for the answer	421d790e-484c-40db-b062-4a0c78cb3ba2	She's already looking for the answer.	2.376000
swe_for_eng:S0076L02U04	known	have you already learned a lot?	74d6e5fb-9c99-419b-a380-bc3b248bee74	Have you already learned a lot?	2.160000
swe_for_eng:S0076L02U05	known	i'm already satisfied with what I know	58b3008c-a81b-4fcc-a6d4-3b53ba7bdf13	I'm already satisfied with what I know.	2.772000
